query,neighbor,score,verdict
longest-word-with-all-prefixes,longest-word-in-dictionary,0.803,match
swap-nodes-in-pairs,reverse-linked-list,0.790,partial
longest-word-in-dictionary,longest-word-with-all-prefixes,0.803,match
validate-binary-search-tree,largest-bst-subtree,0.827,partial
convert-sorted-array-to-binary-search-tree,convert-sorted-list-to-binary-search-tree,0.804,match
minimum-absolute-difference-in-bst,minimum-distance-between-bst-nodes,0.938,match
number-of-strings-which-can-be-rearranged-to-contain-substring,count-sorted-vowel-strings,0.757,partial
all-ancestors-of-a-node-in-a-directed-acyclic-graph,course-schedule-ii,0.777,match
binary-tree-preorder-traversal,binary-tree-postorder-traversal,0.852,match
course-schedule-ii,all-ancestors-of-a-node-in-a-directed-acyclic-graph,0.777,match
minimum-number-of-coins-for-fruits-ii,minimum-number-of-coins-for-fruits,0.813,partial
insert-into-a-binary-search-tree,search-in-a-binary-search-tree,0.805,match
diameter-of-binary-tree,longest-univalue-path,0.809,match
sum-game,remove-colored-pieces-if-both-neighbors-are-the-same-color,0.765,mismatch
palindrome-linked-list,reorder-list,0.755,match
number-of-distinct-islands,number-of-distinct-islands-ii,0.835,match
minimum-distance-between-bst-nodes,minimum-absolute-difference-in-bst,0.938,match
minimum-time-to-revert-word-to-initial-state-ii,minimum-time-to-revert-word-to-initial-state-i,0.816,partial
stone-game-iii,stone-game-vii,0.816,mismatch
closest-binary-search-tree-value-ii,two-sum-bsts,0.780,match
course-schedule,all-ancestors-of-a-node-in-a-directed-acyclic-graph,0.753,partial
construct-binary-tree-from-inorder-and-postorder-traversal,construct-binary-tree-from-preorder-and-postorder-traversal,0.858,match
basic-calculator-iii,basic-calculator,0.826,partial
number-of-unique-flavors-after-sharing-k-candies,length-of-longest-subarray-with-at-most-k-frequency,0.771,partial
two-sum-bsts,closest-binary-search-tree-value-ii,0.780,match
power-of-two,power-of-four,0.759,match
power-of-three,powx-n,0.755,mismatch
stone-game-ii,stone-game-iii,0.780,mismatch
count-the-number-of-square-free-subsets,the-number-of-good-subsets,0.784,match
basic-calculator,basic-calculator-iii,0.826,partial
find-longest-special-substring-that-occurs-thrice-i,find-longest-special-substring-that-occurs-thrice-ii,0.793,partial
largest-bst-subtree,validate-binary-search-tree,0.827,partial
remove-colored-pieces-if-both-neighbors-are-the-same-color,sum-game,0.765,mismatch
length-of-longest-subarray-with-at-most-k-frequency,number-of-unique-flavors-after-sharing-k-candies,0.771,partial
longest-univalue-path,diameter-of-binary-tree,0.809,match
number-of-restricted-paths-from-first-to-last-node,number-of-ways-to-arrive-at-destination,0.710,match
connecting-cities-with-minimum-cost,min-cost-to-connect-all-points,0.683,partial
number-of-increasing-paths-in-a-grid,longest-increasing-path-in-a-matrix,0.739,match
minimum-cost-to-reach-city-with-discounts,minimum-cost-of-a-path-with-special-roads,0.711,match
minimum-moves-to-convert-string,maximum-binary-string-after-change,0.692,mismatch
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,find-the-index-of-the-first-occurrence-in-a-string,0.733,mismatch
distinct-echo-substrings,number-of-distinct-substrings-in-a-string,0.662,partial
construct-binary-search-tree-from-preorder-traversal,verify-preorder-sequence-in-binary-search-tree,0.691,partial
number-of-distinct-substrings-in-a-string,distinct-echo-substrings,0.662,partial
insertion-sort-list,remove-linked-list-elements,0.668,mismatch
word-abbreviation,longest-word-in-dictionary,0.733,partial
